permutation,total_pairs_primary,total_pairs_sens_incl_observed,total_pairs_sens_with_replacement,drawn_set_primary
560,32,30,28,CD44|ACVR1B|SORT1|ERBB2|LRP1|ITGB4|ITGA6
561,27,29,31,ITGB1|LRP5|ERBB2|LRP1|ITGA6|ERBB3|SORT1
562,30,38,38,ERBB2|FLT1|SORT1|IGF2R|ITGB1|ERBB3|ITGA6
563,21,30,30,ERBB3|LRP5|ITGB1|LRP1|CD44|SORT1|IGF2R
564,27,32,21,TNFRSF1A|NRP1|ITGB1|ERBB2|ERBB3|IGF2R|ITGB5
565,26,24,28,ITGB1|BMPR2|SORT1|ITGA6|TNFRSF1A|ERBB2|CD44
566,30,19,23,ITGB4|TNFRSF12A|SORT1|IGF2R|ITGB1|LRP1|CD44
567,30,32,26,LRP1|NTRK2|ITGB1|ITGB4|ITGA6|CD44|TNFRSF1A
568,32,23,33,CD44|BMPR2|ITGB5|ITGB4|SORT1|ERBB3|ERBB2
569,31,26,32,ITGB1|NTRK2|TNFRSF1A|ERBB3|ITGB4|CD44|LRP1
570,19,21,25,IGF2R|BMPR2|SORT1|TNFRSF1A|ITGB5|ITGB1|ITGB4
571,27,28,23,IGF2R|NTRK2|SORT1|ERBB2|ITGA6|TNFRSF1A|ITGB4
572,30,36,29,LRP1|NRP1|ERBB2|ERBB3|CD44|ITGB1|ITGB5
573,38,42,31,SORT1|PLXNA1|LRP1|ITGB1|ITGA6|ERBB2|ERBB3
574,35,20,18,ERBB3|BMPR2|SORT1|CD44|ITGB4|ITGB5|ITGA6
575,28,26,30,ITGA6|LRP5|CD44|ERBB3|SORT1|IGF2R|TNFRSF1A
576,25,21,25,ITGB4|FGFR1|LRP1|SORT1|ERBB2|CD44|ITGB1
577,21,25,22,ERBB3|TGFBR2|IGF2R|SORT1|LRP1|ITGB5|CD44
578,35,32,32,TNFRSF1A|NTRK2|ITGB4|ERBB3|SORT1|ERBB2|ITGA6
579,32,20,22,ITGB4|FLT1|TNFRSF1A|CD44|SORT1|ITGA6|ITGB1
580,28,27,22,TNFRSF1A|ACVR1B|SORT1|ITGB5|ERBB3|ITGB1|CD44
581,32,36,33,ITGB4|PDGFRB|ITGA6|SORT1|TNFRSF1A|CD44|IGF2R
582,28,22,26,ERBB3|ACVR1B|ITGB5|ITGB4|LRP1|TNFRSF1A|IGF2R
583,35,32,25,TNFRSF1A|IGF1R|ERBB3|ERBB2|ITGB4|LRP1|CD44
584,27,29,33,ERBB2|IGF1R|ERBB3|IGF2R|ITGB1|ITGB5|TNFRSF1A
585,21,33,26,ERBB2|TGFBR1|TNFRSF1A|IGF2R|ITGB5|LRP1|CD44
586,35,44,34,CD44|PDGFRB|ITGB5|ERBB3|ITGB1|ITGA6|LRP1
587,32,29,19,IGF2R|IGF1R|ERBB3|ERBB2|ITGB4|ITGB5|TNFRSF1A
588,35,35,29,ITGB5|PDGFRB|ITGA6|LRP1|ERBB3|ITGB1|CD44
589,32,33,35,ITGA6|TNFRSF12A|ITGB4|LRP1|SORT1|ITGB5|IGF2R
590,29,34,38,ITGA6|NRP1|ERBB3|LRP1|IGF2R|CD44|SORT1
591,29,32,30,ITGA6|LRP5|CD44|IGF2R|ERBB2|LRP1|ITGB4
592,48,28,30,CD44|PLXNA1|ITGA6|LRP1|ITGB4|ERBB2|ERBB3
593,31,33,30,IGF2R|FLT1|ITGB4|TNFRSF1A|ERBB2|ITGA6|ITGB1
594,38,36,31,ERBB3|PLXNA1|SORT1|ITGB4|LRP1|TNFRSF1A|ERBB2
595,25,26,27,ITGB5|IGF1R|ERBB3|ITGB1|IGF2R|LRP1|ERBB2
596,25,23,27,SORT1|NTRK2|LRP1|TNFRSF1A|ITGB4|ITGB1|ITGA6
597,37,43,41,ERBB3|TNFRSF12A|ERBB2|LRP1|ITGB1|ITGA6|SORT1
598,34,36,43,LRP1|TNFRSF12A|ITGA6|CD44|ERBB2|TNFRSF1A|IGF2R
599,29,45,36,ITGB5|PDGFRB|CD44|ERBB2|ITGB4|SORT1|IGF2R
600,33,25,42,ERBB2|NRP2|IGF2R|CD44|LRP1|ERBB3|ITGB4
601,29,26,22,ITGB4|TGFBR2|LRP1|ERBB3|ITGB1|ERBB2|ITGB5
602,32,37,30,ITGB1|TNFRSF12A|ITGB4|LRP1|IGF2R|SORT1|ITGA6
603,35,32,19,CD44|PDGFRB|SORT1|TNFRSF1A|ERBB3|ITGB5|ITGB4
604,24,28,31,LRP1|BMPR2|TNFRSF1A|ERBB2|CD44|ITGB4|IGF2R
605,26,29,31,TNFRSF1A|LRP5|IGF2R|ITGB4|ITGA6|LRP1|ERBB2
606,22,34,29,SORT1|NTRK2|ERBB2|ITGA6|ITGB1|LRP1|TNFRSF1A
607,24,28,40,ITGB5|FLT1|ITGA6|ERBB2|ITGB1|SORT1|IGF2R
608,44,37,31,ITGB5|TNFRSF12A|ITGB4|TNFRSF1A|ERBB3|ITGB1|ITGA6
609,27,32,29,SORT1|ACVR1B|CD44|ERBB2|ITGB4|ITGB5|IGF2R
610,20,27,25,SORT1|IGF1R|TNFRSF1A|ERBB2|LRP1|CD44|IGF2R
611,28,21,30,SORT1|FLT1|ERBB3|ITGB5|LRP1|TNFRSF1A|ITGA6
612,29,39,24,ITGB4|NRP2|TNFRSF1A|ITGA6|ERBB2|LRP1|IGF2R
613,35,34,32,IGF2R|TNFRSF12A|ITGB4|ITGB1|LRP1|ERBB3|TNFRSF1A
614,42,39,29,SORT1|TNFRSF12A|ERBB3|ITGA6|ITGB1|ITGB4|ITGB5
615,27,26,26,CD44|BMPR2|ITGA6|ITGB5|SORT1|ITGB4|LRP1
616,22,28,27,SORT1|NTRK2|ITGB1|TNFRSF1A|ITGA6|IGF2R|ERBB2
617,30,28,40,TNFRSF1A|PDGFRB|SORT1|ERBB3|ERBB2|LRP1|CD44
618,23,28,29,ITGA6|ACVR1B|CD44|TNFRSF1A|SORT1|IGF2R|LRP1
619,37,30,26,ITGA6|ACVR1B|ERBB2|LRP1|TNFRSF1A|ERBB3|ITGB4
620,33,33,30,ERBB2|PLXNA1|LRP1|SORT1|ITGB5|TNFRSF1A|ERBB3
621,33,28,33,TNFRSF1A|ACVR1B|CD44|ERBB3|ITGB1|SORT1|ITGA6
622,28,20,27,CD44|TGFBR2|SORT1|ITGA6|TNFRSF1A|ERBB3|IGF2R
623,37,24,27,ERBB3|LRP5|TNFRSF1A|ITGA6|ITGB5|CD44|ITGB4
624,33,30,30,TNFRSF1A|PLXNA1|ERBB3|ERBB2|SORT1|LRP1|ITGB5
625,27,30,26,ITGA6|FLT1|CD44|ITGB5|LRP1|IGF2R|ERBB2
626,27,26,32,ERBB2|BMPR2|ITGB4|LRP1|ERBB3|SORT1|ITGB1
627,28,31,31,TNFRSF1A|FLT1|ITGB5|LRP1|ITGB4|ERBB3|IGF2R
628,32,31,33,ERBB3|PDGFRB|CD44|SORT1|ERBB2|ITGB1|TNFRSF1A
629,36,26,28,TNFRSF1A|PLXNA1|ITGA6|ERBB3|LRP1|IGF2R|ITGB5
630,33,34,30,ITGB5|ACVR1B|CD44|SORT1|ITGA6|TNFRSF1A|ERBB3
631,30,25,35,ERBB2|NRP1|ITGB1|ERBB3|TNFRSF1A|CD44|SORT1
632,25,29,25,SORT1|BMPR2|IGF2R|ITGB4|ITGB5|ITGB1|ERBB3
633,27,26,32,IGF2R|TGFBR1|ITGA6|SORT1|ERBB3|LRP1|ERBB2
634,31,26,30,LRP1|FLT1|SORT1|ERBB3|ITGB4|ITGB1|CD44
635,24,29,26,TNFRSF1A|NRP2|ITGB1|LRP1|ITGB4|SORT1|ERBB2
636,36,44,43,ERBB2|TNFRSF12A|ITGB1|ITGA6|IGF2R|LRP1|ITGB4
637,20,19,24,LRP1|FGFR1|ITGB1|TNFRSF1A|ITGB4|IGF2R|ITGB5
638,19,25,28,IGF2R|LRP5|ITGB5|CD44|SORT1|ERBB2|TNFRSF1A
639,23,28,28,TNFRSF1A|FGFR1|CD44|IGF2R|ITGB4|SORT1|ITGB5
640,31,23,37,ERBB2|PLXNA1|LRP1|SORT1|ERBB3|IGF2R|TNFRSF1A
641,33,33,42,LRP1|PDGFRB|ITGA6|TNFRSF1A|ITGB4|ITGB5|ERBB2
642,36,32,34,ITGB1|FGFR1|ERBB3|ITGB4|ITGA6|IGF2R|CD44
643,37,23,25,ITGB4|NRP2|LRP1|ITGB1|ERBB3|ITGA6|ERBB2
644,22,30,32,LRP1|NRP2|ITGB4|SORT1|ITGB5|ERBB2|IGF2R
645,34,33,26,ERBB2|NTRK2|ITGA6|ITGB1|ITGB4|TNFRSF1A|CD44
646,33,20,25,ERBB3|ACVR1B|TNFRSF1A|SORT1|ITGB4|IGF2R|ITGA6
647,25,33,23,IGF2R|LRP5|TNFRSF1A|ITGB4|ERBB3|ITGB1|LRP1
648,28,26,24,SORT1|NRP1|ITGB4|ITGB1|LRP1|ERBB3|ITGB5
649,29,43,37,ITGB4|PDGFRB|SORT1|ERBB2|ITGB1|LRP1|CD44
650,21,29,35,LRP1|TGFBR2|ITGB5|TNFRSF1A|CD44|ITGB1|ERBB2
651,30,24,28,SORT1|ACVR1B|TNFRSF1A|ERBB2|CD44|ITGB5|ERBB3
652,34,31,23,ITGB5|TGFBR2|ITGB4|ERBB3|ITGA6|LRP1|ERBB2
653,31,23,18,SORT1|TGFBR1|ITGB1|CD44|ITGB4|ITGB5|ITGA6
654,26,43,39,ERBB2|PDGFRB|IGF2R|ITGB5|LRP1|ITGB1|ITGA6
655,37,31,31,ERBB2|PDGFRB|ITGA6|ERBB3|LRP1|ITGB4|SORT1
656,35,15,13,ERBB3|NRP2|ITGB5|ITGB4|TNFRSF1A|ITGA6|LRP1
657,30,19,19,SORT1|TGFBR1|ITGB4|LRP1|IGF2R|ITGA6|ERBB3
658,38,24,27,ERBB3|PLXNA1|LRP1|CD44|ITGB5|ERBB2|TNFRSF1A
659,36,37,41,LRP1|TNFRSF12A|ITGB5|ERBB2|ITGB4|CD44|TNFRSF1A
660,22,24,19,ITGB1|LRP5|SORT1|TNFRSF1A|IGF2R|CD44|ITGB4
661,38,33,33,ITGB4|FGFR1|IGF2R|ERBB2|ITGA6|ERBB3|CD44
662,14,23,20,ITGB1|TGFBR1|SORT1|ITGB5|TNFRSF1A|IGF2R|LRP1
663,38,37,35,ERBB2|TNFRSF12A|ITGB1|SORT1|ITGB4|ITGA6|TNFRSF1A
664,31,30,40,ITGB1|IGF1R|ITGA6|ITGB4|TNFRSF1A|ERBB2|LRP1
665,24,32,40,CD44|LRP5|ITGB1|LRP1|ITGA6|ERBB2|SORT1
666,27,24,31,LRP1|LRP5|SORT1|ITGB1|ITGA6|CD44|ITGB4
667,30,24,26,ITGB5|NRP1|ERBB2|TNFRSF1A|CD44|SORT1|ERBB3
668,29,38,36,ITGB5|PDGFRB|ITGA6|SORT1|LRP1|ITGB1|ITGB4
669,20,32,26,SORT1|FGFR1|CD44|IGF2R|TNFRSF1A|ITGB1|ERBB2
670,30,32,32,ITGB4|NRP2|CD44|ITGB1|SORT1|IGF2R|ITGA6
671,22,33,33,ERBB3|NTRK2|CD44|IGF2R|SORT1|ITGB5|LRP1
672,33,24,35,ITGA6|TGFBR1|CD44|ITGB5|IGF2R|ERBB2|ITGB4
673,28,20,20,ERBB3|ACVR1B|LRP1|ITGB5|ITGB4|SORT1|TNFRSF1A
674,30,26,28,LRP1|ACVR1B|SORT1|ITGB5|ERBB3|ERBB2|ITGB4
675,19,29,34,ITGB1|NTRK2|ERBB3|IGF2R|LRP1|TNFRSF1A|SORT1
676,31,32,28,TNFRSF1A|TGFBR2|ERBB3|ERBB2|ITGB1|ITGB5|ITGA6
677,20,30,18,TNFRSF1A|BMPR2|ERBB3|SORT1|LRP1|ITGB5|ITGB1
678,26,33,34,ITGA6|TGFBR2|CD44|ERBB2|ITGB1|LRP1|TNFRSF1A
679,31,27,38,IGF2R|NRP2|ERBB3|ITGA6|ITGB1|CD44|SORT1
680,24,22,27,LRP1|NRP1|SORT1|ITGA6|ITGB5|ITGB1|ERBB2
681,26,29,31,CD44|TGFBR2|IGF2R|LRP1|SORT1|ITGB4|ERBB3
682,17,23,27,TNFRSF1A|NRP1|LRP1|ERBB2|IGF2R|ITGB5|SORT1
683,26,28,37,ITGA6|TGFBR2|CD44|SORT1|ITGB5|ERBB2|ITGB1
684,34,31,37,ITGB5|TNFRSF12A|ITGA6|TNFRSF1A|ITGB4|SORT1|IGF2R
685,30,31,39,ITGA6|FGFR1|SORT1|ERBB2|ITGB1|ITGB5|ERBB3
686,37,25,28,ITGB4|TGFBR1|ITGA6|LRP1|CD44|ITGB5|ERBB3
687,31,26,30,ERBB2|IGF1R|ITGA6|ITGB5|SORT1|ITGB4|ITGB1
688,28,20,25,SORT1|FGFR1|TNFRSF1A|CD44|ERBB3|ERBB2|ITGB5
689,28,31,35,TNFRSF1A|IGF1R|ITGB5|ITGA6|IGF2R|LRP1|ERBB3
690,24,24,29,ITGB4|NTRK2|LRP1|SORT1|IGF2R|ERBB3|ITGB5
691,37,32,38,ITGA6|PDGFRB|ERBB3|IGF2R|ITGB4|ITGB1|TNFRSF1A
692,27,22,21,TNFRSF1A|TGFBR1|ITGB1|SORT1|ERBB3|ITGA6|LRP1
693,35,42,31,ITGB1|PDGFRB|TNFRSF1A|ITGB5|ITGB4|ITGA6|ERBB2
694,27,32,25,IGF2R|TGFBR2|TNFRSF1A|ITGB1|ERBB3|ITGA6|ITGB5
695,33,29,24,SORT1|FLT1|TNFRSF1A|ITGB1|ERBB3|CD44|ITGB4
696,32,29,19,TNFRSF1A|TGFBR1|ITGB4|CD44|ERBB3|LRP1|ITGB5
697,35,38,27,SORT1|NTRK2|ITGA6|ITGB1|ITGB4|ERBB3|ERBB2
698,34,24,37,ERBB2|TGFBR1|ITGB1|ITGA6|CD44|SORT1|ERBB3
699,33,32,38,ERBB3|NTRK2|CD44|ITGB5|ITGB4|ITGB1|TNFRSF1A
700,23,27,29,IGF2R|NTRK2|ITGB5|CD44|ITGB4|SORT1|ITGB1
701,23,24,14,TNFRSF1A|TGFBR1|ITGB1|ITGB4|IGF2R|ERBB2|SORT1
702,38,38,28,TNFRSF1A|FLT1|ITGA6|ITGB4|ERBB3|IGF2R|CD44
703,33,30,30,ITGB4|NRP2|TNFRSF1A|CD44|SORT1|ITGB5|ERBB3
704,36,24,32,LRP1|PLXNA1|ERBB3|ITGA6|SORT1|ITGB5|TNFRSF1A
705,38,27,38,CD44|NRP2|IGF2R|TNFRSF1A|ERBB3|ITGA6|ITGB4
706,43,23,14,ITGB1|PLXNA1|ERBB3|ITGB4|ITGA6|SORT1|ITGB5
707,19,30,32,IGF2R|BMPR2|ERBB2|ITGA6|TNFRSF1A|SORT1|LRP1
708,35,29,31,ITGB4|PLXNA1|IGF2R|CD44|ITGB1|ERBB2|SORT1
709,24,33,35,ITGB4|FLT1|TNFRSF1A|ITGB5|IGF2R|ERBB2|LRP1
710,26,26,40,CD44|BMPR2|ITGB1|ERBB2|IGF2R|ITGB4|ITGB5
711,26,32,34,ITGB5|PDGFRB|TNFRSF1A|SORT1|CD44|ITGB1|ERBB2
712,34,26,28,ITGB1|PDGFRB|SORT1|ITGB5|CD44|ITGB4|ITGA6
713,31,24,26,ERBB2|IGF1R|ITGA6|ITGB4|TNFRSF1A|LRP1|ITGB1
714,35,29,26,ERBB3|NRP2|ITGB5|ITGA6|LRP1|CD44|ERBB2
715,40,30,37,TNFRSF1A|TNFRSF12A|CD44|ERBB3|ITGB1|ITGB4|SORT1
716,31,21,26,ITGB4|NRP1|SORT1|ITGA6|ERBB2|TNFRSF1A|ITGB1
717,29,41,31,CD44|PDGFRB|ERBB2|LRP1|ITGB1|ITGA6|IGF2R
718,31,31,29,ITGB4|FLT1|ERBB3|SORT1|CD44|ITGB1|LRP1
719,31,42,37,ERBB2|PDGFRB|ITGB5|TNFRSF1A|LRP1|ITGA6|CD44
720,39,35,30,ERBB2|PLXNA1|ITGB1|TNFRSF1A|ITGA6|ITGB5|CD44
721,24,29,31,IGF2R|IGF1R|ERBB2|TNFRSF1A|ITGB5|LRP1|ITGB4
722,31,44,40,ERBB2|TNFRSF12A|IGF2R|CD44|ITGB5|TNFRSF1A|ITGB1
723,31,30,28,ITGA6|NRP1|ITGB1|LRP1|IGF2R|CD44|ERBB3
724,22,23,20,ERBB2|TGFBR2|TNFRSF1A|ITGB1|IGF2R|ERBB3|SORT1
725,25,29,33,IGF2R|FGFR1|LRP1|ITGB4|ERBB2|ITGB1|CD44
726,33,29,29,ERBB3|NRP2|ITGB5|ITGA6|CD44|TNFRSF1A|SORT1
727,18,28,21,LRP1|NTRK2|TNFRSF1A|SORT1|IGF2R|ITGA6|ITGB5
728,42,31,31,ITGB4|NRP2|ERBB2|ERBB3|ITGB5|ITGA6|CD44
729,25,35,31,ERBB3|LRP5|TNFRSF1A|IGF2R|CD44|LRP1|ERBB2
730,43,31,33,SORT1|TNFRSF12A|ITGB4|ITGA6|CD44|LRP1|ERBB3
731,23,29,20,CD44|NTRK2|LRP1|SORT1|ITGB1|ITGA6|TNFRSF1A
732,50,38,18,CD44|PLXNA1|ITGB4|ERBB3|ERBB2|ITGB1|ITGA6
733,32,35,42,IGF2R|LRP5|ERBB3|ITGA6|ERBB2|CD44|TNFRSF1A
734,34,27,33,ITGB4|IGF1R|TNFRSF1A|ITGA6|CD44|IGF2R|ERBB2
735,21,18,29,TNFRSF1A|TGFBR1|ITGB4|IGF2R|SORT1|ITGB5|ITGB1
736,39,30,24,ERBB2|PLXNA1|TNFRSF1A|ITGB4|ITGB5|IGF2R|ITGA6
737,30,31,29,ERBB2|TGFBR1|ITGA6|ITGB4|TNFRSF1A|IGF2R|ITGB5
738,38,26,26,ERBB3|TGFBR1|ITGA6|ITGB1|ITGB5|ERBB2|ITGB4
739,24,40,46,CD44|PDGFRB|ITGB1|ERBB2|IGF2R|ITGB5|SORT1
740,35,24,27,CD44|IGF1R|ITGB5|ITGB1|ERBB3|TNFRSF1A|ITGA6
741,28,26,25,TNFRSF1A|NTRK2|CD44|ITGA6|LRP1|ITGB4|SORT1
742,32,30,30,CD44|FLT1|ITGB4|IGF2R|ITGA6|ITGB1|ITGB5
743,29,26,20,ITGA6|ACVR1B|ITGB1|TNFRSF1A|SORT1|ITGB4|ITGB5
744,20,24,13,TNFRSF1A|NRP2|LRP1|SORT1|IGF2R|ITGB5|ITGB4
745,15,31,29,CD44|LRP5|ITGB5|IGF2R|LRP1|TNFRSF1A|SORT1
746,39,29,32,ITGB4|NRP1|ERBB2|ITGB5|ITGA6|ERBB3|TNFRSF1A
747,40,37,38,ERBB3|TNFRSF12A|CD44|LRP1|ITGB4|ITGB5|ITGB1
748,34,21,21,ERBB3|BMPR2|SORT1|ERBB2|ITGB4|ITGA6|TNFRSF1A
749,29,23,37,SORT1|NRP1|TNFRSF1A|ITGA6|ITGB5|ERBB2|CD44
750,37,40,40,IGF2R|PLXNA1|ITGB5|ITGB1|CD44|ITGB4|ERBB2
751,30,29,32,ITGB1|FLT1|ITGA6|SORT1|ITGB4|IGF2R|CD44
752,32,26,29,ERBB2|IGF1R|ITGB5|TNFRSF1A|SORT1|ERBB3|ITGA6
753,43,22,25,ITGB4|PLXNA1|ERBB3|IGF2R|ITGB5|TNFRSF1A|ITGA6
754,37,39,44,ERBB3|PDGFRB|IGF2R|ITGA6|CD44|ERBB2|TNFRSF1A
755,19,40,29,ITGB5|BMPR2|LRP1|CD44|ERBB2|ITGB1|IGF2R
756,18,27,30,ITGB1|ACVR1B|IGF2R|ITGB5|LRP1|SORT1|CD44
757,25,30,35,CD44|NRP2|ITGB1|ITGB4|TNFRSF1A|IGF2R|SORT1
758,30,19,17,ITGB1|LRP5|LRP1|ITGA6|SORT1|ITGB4|ERBB3
759,33,29,32,ITGB4|IGF1R|LRP1|IGF2R|ITGA6|ERBB3|ITGB5
760,32,32,31,TNFRSF1A|TNFRSF12A|SORT1|ITGB5|ITGB4|LRP1|CD44
761,29,32,28,ERBB2|NRP1|CD44|ITGB5|TNFRSF1A|ITGA6|LRP1
762,34,30,15,ITGB5|BMPR2|ITGA6|LRP1|ERBB2|ITGB4|ERBB3
763,36,24,24,ITGB5|PLXNA1|ITGA6|TNFRSF1A|IGF2R|SORT1|ERBB3
764,34,19,32,ITGB4|TGFBR1|ERBB3|ITGB5|ITGB1|CD44|TNFRSF1A
765,27,18,28,ITGB4|FGFR1|SORT1|IGF2R|TNFRSF1A|ERBB2|ITGA6
766,30,34,13,ITGA6|IGF1R|IGF2R|ERBB3|ERBB2|ITGB1|LRP1
767,30,25,25,ITGA6|TGFBR1|SORT1|TNFRSF1A|LRP1|CD44|ERBB3
768,27,30,33,ERBB3|TGFBR1|CD44|ERBB2|LRP1|IGF2R|ITGB5
769,27,26,35,LRP1|BMPR2|ITGB5|ITGA6|ERBB3|ITGB1|TNFRSF1A
770,28,34,44,ERBB3|NRP2|ERBB2|LRP1|IGF2R|ITGB4|SORT1
771,24,24,20,ERBB2|LRP5|ITGB5|ERBB3|TNFRSF1A|ITGB1|LRP1
772,22,31,33,ITGB4|PDGFRB|ITGB5|IGF2R|TNFRSF1A|LRP1|SORT1
773,30,26,31,ERBB3|NRP1|LRP1|ERBB2|ITGA6|IGF2R|ITGB5
774,32,33,20,ITGB1|IGF1R|ITGB5|ERBB3|ITGA6|LRP1|ERBB2
775,32,35,32,ITGB1|FLT1|ERBB2|IGF2R|ERBB3|ITGB4|TNFRSF1A
776,18,27,29,ITGB5|TGFBR2|ERBB3|IGF2R|LRP1|ITGB1|SORT1
777,34,32,29,ITGB5|PDGFRB|ERBB2|ITGB4|ERBB3|LRP1|ITGB1
778,45,34,37,CD44|TNFRSF12A|ITGB4|IGF2R|ITGA6|ERBB3|ITGB5
779,29,33,30,TNFRSF1A|FLT1|IGF2R|ITGA6|CD44|ITGB1|ERBB2
780,21,34,41,IGF2R|NRP1|ITGB1|LRP1|ITGB5|ERBB3|SORT1
781,19,28,24,IGF2R|LRP5|ITGB5|CD44|ERBB2|TNFRSF1A|LRP1
782,29,36,34,CD44|NTRK2|ERBB3|SORT1|TNFRSF1A|IGF2R|ITGA6
783,22,34,38,SORT1|BMPR2|ERBB3|ERBB2|ITGB5|ITGB1|LRP1
784,35,36,29,ERBB2|PLXNA1|LRP1|CD44|ITGA6|SORT1|ITGB1
785,37,38,28,LRP1|PDGFRB|ERBB2|ERBB3|ITGB4|IGF2R|ITGA6
786,25,39,39,LRP1|FLT1|ITGA6|IGF2R|ERBB2|SORT1|CD44
787,27,21,25,LRP1|TGFBR2|ITGB4|TNFRSF1A|SORT1|ERBB2|ERBB3
788,27,27,27,LRP1|BMPR2|ERBB2|ITGB1|ITGB4|ERBB3|SORT1
789,41,29,30,ITGB5|PLXNA1|ERBB3|IGF2R|SORT1|ITGB4|ITGA6
790,27,25,34,IGF2R|NRP2|ERBB2|ITGB4|LRP1|CD44|ITGB1
791,31,27,21,ITGA6|NTRK2|TNFRSF1A|SORT1|LRP1|ITGB4|ERBB3
792,31,20,22,ITGB4|IGF1R|ERBB2|ITGA6|ITGB5|IGF2R|TNFRSF1A
793,32,26,15,TNFRSF1A|ACVR1B|ITGB5|SORT1|ITGB4|ERBB2|ERBB3
794,37,29,29,SORT1|TGFBR1|ITGA6|ERBB3|ITGB4|CD44|TNFRSF1A
795,26,24,20,ITGB5|TGFBR2|TNFRSF1A|ITGA6|ITGB1|IGF2R|ITGB4
796,32,27,33,CD44|TGFBR1|IGF2R|ERBB3|ITGB4|SORT1|ERBB2
797,25,28,28,CD44|NRP2|ITGB5|LRP1|TNFRSF1A|ITGB4|SORT1
798,32,25,27,ERBB2|ACVR1B|ITGB1|ITGB4|TNFRSF1A|IGF2R|ERBB3
799,29,31,25,IGF2R|TGFBR2|ERBB2|ITGA6|ERBB3|ITGB1|ITGB5
800,30,33,38,ITGB5|NTRK2|ERBB2|ITGB4|IGF2R|ERBB3|TNFRSF1A
801,23,21,23,ITGA6|TGFBR2|ITGB1|ERBB2|TNFRSF1A|ITGB5|SORT1
802,30,41,28,ITGB4|NTRK2|ITGA6|ERBB2|SORT1|IGF2R|CD44
803,33,35,36,ITGB1|FLT1|ITGA6|ERBB3|TNFRSF1A|CD44|IGF2R
804,24,33,33,ITGB4|LRP5|LRP1|TNFRSF1A|CD44|ERBB2|IGF2R
805,23,22,24,ITGB5|BMPR2|TNFRSF1A|ITGB1|IGF2R|ERBB2|ITGB4
806,25,38,47,ERBB2|PLXNA1|SORT1|ITGB5|ITGB1|LRP1|IGF2R
807,25,39,26,ERBB2|NTRK2|ITGB5|LRP1|ERBB3|TNFRSF1A|ITGB1
808,31,29,24,ITGB4|NTRK2|ITGB5|ERBB3|IGF2R|ITGA6|SORT1
809,36,17,27,SORT1|PLXNA1|LRP1|ITGB1|ITGA6|ERBB3|TNFRSF1A
810,31,25,28,ITGB1|ACVR1B|CD44|ITGA6|TNFRSF1A|ITGB5|ERBB2
811,31,27,28,CD44|IGF1R|SORT1|ITGB5|ITGB4|IGF2R|ERBB3
812,42,36,30,ITGB5|PLXNA1|LRP1|ERBB2|ITGB4|CD44|ITGA6
813,29,34,38,IGF2R|TGFBR1|TNFRSF1A|CD44|ERBB3|ITGB1|ERBB2
814,44,27,38,ITGB5|TNFRSF12A|ITGB4|ERBB2|ERBB3|ITGA6|IGF2R
815,32,31,38,ERBB3|BMPR2|IGF2R|ITGA6|ERBB2|CD44|TNFRSF1A
816,15,25,25,ERBB2|NTRK2|SORT1|ITGB5|TNFRSF1A|IGF2R|LRP1
817,23,26,22,ITGB4|LRP5|ERBB2|ITGB5|ITGB1|TNFRSF1A|IGF2R
818,35,35,31,ITGA6|ACVR1B|ITGB1|ERBB3|CD44|SORT1|ERBB2
819,33,35,34,ERBB2|NRP2|SORT1|CD44|ITGB4|IGF2R|ERBB3
820,37,37,25,CD44|NRP2|ERBB2|ERBB3|TNFRSF1A|ITGB1|ITGA6
821,25,29,22,SORT1|BMPR2|ERBB2|TNFRSF1A|CD44|LRP1|ERBB3
822,23,22,36,CD44|LRP5|LRP1|ERBB3|ITGB5|SORT1|ITGB1
823,26,29,26,ERBB3|FGFR1|IGF2R|ERBB2|CD44|ITGB1|LRP1
824,28,40,38,CD44|ACVR1B|ITGB1|ERBB2|ERBB3|LRP1|IGF2R
825,27,31,26,LRP1|LRP5|ERBB3|ERBB2|ITGB4|IGF2R|TNFRSF1A
826,34,20,26,TNFRSF1A|ACVR1B|ERBB2|ITGB5|ITGB1|ERBB3|ITGA6
827,35,36,21,ITGA6|NRP1|ERBB3|ITGB1|ERBB2|CD44|LRP1
828,35,34,42,ITGB5|PDGFRB|CD44|ITGB1|ITGB4|ERBB3|IGF2R
829,38,36,40,IGF2R|TNFRSF12A|LRP1|ERBB3|ITGA6|CD44|TNFRSF1A
830,36,31,33,ITGA6|IGF1R|LRP1|CD44|ERBB3|SORT1|ITGB4
831,35,26,26,ITGA6|BMPR2|SORT1|ERBB3|ITGB4|CD44|ITGB5
832,25,21,22,ERBB2|TGFBR1|TNFRSF1A|ITGB4|ITGB1|IGF2R|ITGB5
833,31,32,26,IGF2R|PLXNA1|LRP1|ITGB1|SORT1|ERBB2|ERBB3
834,29,36,26,SORT1|IGF1R|LRP1|ITGB4|ERBB2|ITGB1|ITGA6
835,33,21,21,ITGB4|NRP2|ERBB3|CD44|TNFRSF1A|ITGB5|SORT1
836,27,32,24,ITGB1|NRP2|ITGB5|TNFRSF1A|ERBB2|ERBB3|LRP1
837,42,36,36,TNFRSF1A|FLT1|CD44|ITGB4|ITGA6|ERBB3|ERBB2
838,25,38,36,SORT1|PDGFRB|CD44|ITGB5|ITGB4|LRP1|IGF2R
